Account,Period,Transaction Date,Amount,Description,LA1,LA2,LA3,LA4,LA5
200119,007/2020,31/10/2020,21.00,GNSC006052_Pembridge Garde,GN0597BA1,,577,GN,C010
200119,007/2020,31/10/2020,66.12,GNSC006053_West Cromwell R,GN0595BA1,,574,GN,C010
200119,007/2020,31/10/2020,24.38,GNSC006054_Earls Court Roa,GN0596BA1,,576,GN,C010
200119,007/2020,31/10/2020,63.20,GNSC006056_West Cromwell R,GN0595BA1,,574,GN,C010
200119,007/2020,31/10/2020,39.08,GNSC006066_Bath Road,GN0494BA1,,455,GN,C010
200119,007/2020,31/10/2020,40.56,GNSC006067_Bath Road,GN0495BA1,,456,GN,C010
200119,007/2020,31/10/2020,71.12,GNSC006074_Ashchurch Park ,GN0013BA1,,1000060,GN,C010
200106,007/2020,31/10/2020,93.71,GNSC006094_Tadmore Street,GN0511BA1,,473,GN,C010
200136,007/2020,31/10/2020,57.36,GNSC006096_Purcell Crescen,GN0093BA1,,114,GN,C010
200119,007/2020,31/10/2020,134.91,GNSC006104_Sterndale Road,GN0666BA1,,655,GN,C010
200106,007/2020,31/10/2020,123.37,GNSC006108_Scotts Road,GN0135BA1,,1410,GN,C010
200106,007/2020,31/10/2020,97.08,GNSC006125_Beverley Road,GN0021BA1,,1000107,GN,C010
200119,007/2020,31/10/2020,51.68,GNSC006127_Stowe Road,GN0446BA1,,3971,GN,C010
200106,007/2020,31/10/2020,104.11,GNSC006134_Claxton Grove,GN0115BA1,,129,GN,C010
200119,007/2020,31/10/2020,137.76,GNSC006137_Pembridge Garde,GN0597BA1,,577,GN,C010
200106,007/2020,31/10/2020,69.83,GNSC006138_Sterndale Road,GN0666BA1,,655,GN,C010
200136,007/2020,31/10/2020,156.48,GNSC006141_Adie Road,GN0522BA1,,485,GN,C010
200119,007/2020,31/10/2020,47.66,GNSC006144_Carlyle Road,GN0482BA1,,44,GN,C010
200106,007/2020,31/10/2020,100.18,GNSC006147_Askew Road,GN0468BA1,,424,GN,C010
200119,007/2020,31/10/2020,37.60,GNSC006149_New Heston Road,GN0024BA1,,1000136,GN,C010
200106,007/2020,31/10/2020,37.26,GNSC006157_Titmuss Street,GN0136BB1,,1419,GN,C010
200106,007/2020,31/10/2020,60.72,GNSC006161_Titmuss Street,GN0136BB1,,1419,GN,C010
200106,007/2020,31/10/2020,25.04,GNSC006166_High Street,GN0285BA1,,2580,GN,C010
200106,007/2020,31/10/2020,156.48,GNSC006177_Cadbury Close,GN0210BA1,,2026,GN,C010
200106,007/2020,31/10/2020,60.72,GNSC006184_Gowan Avenue,GN0616BA1,,596,GN,C010
200106,007/2020,31/10/2020,36.14,GNSC006202_Becklow Road,GN0098BA1,,1195,GN,C010
200106,007/2020,31/10/2020,60.72,GNSC006212_Bracewell Road,GN0627BA1,,607,GN,C010
200106,007/2020,31/10/2020,48.43,GNSC006233_Hampton Road We,MX0072BA1,,1000350,GN,C010
200106,007/2020,31/10/2020,62.30,GNSC006243_Lillie Road,MX0671BA1,,662,GN,C010
200106,007/2020,31/10/2020,73.69,GNSC006261_Botwell Lane,GN0025BA1,,1000137,GN,C010
200106,007/2020,31/10/2020,48.43,GNSC006264_Bedfont Lane,GN0073BA1,,1000364,GN,C010
200119,007/2020,31/10/2020,94.24,MX030183_NICOLL ROAD,MX0259BA1,,2335,MX,C010
200119,007/2020,31/10/2020,18.78,LH021749_Townmead Road,MX0032BC1,,9856,SO,C010
200119,007/2020,31/10/2020,18.78,LH021824_Townmead Road,MX0032BD1,,9826,SO,C010
200119,007/2020,31/10/2020,18.78,LH021850_Cowley Road,MX0034BB1,,11536,SO,C010
200119,007/2020,31/10/2020,18.78,LH021853_Lakeside Road,LH0845BA1,,6624,LH,C010
200119,007/2020,31/10/2020,129.55,LH021941_Welbeck Avenue,SO0326BA1,,2908,SO,C010
200119,007/2020,31/10/2020,18.78,LH021972_Welbeck Avenue,SO0326BA1,,9515,SO,C010
200119,007/2020,31/10/2020,39.45,LH022040_Savera Close,SO0335BA1,,2973,SO,C010
200119,007/2020,31/10/2020,271.00,LH022097_Townmead Road,MX0032BD1,,9866,LH,C010
200119,007/2020,31/10/2020,75.00,LH022122_Welbeck Avenue,SO0326BA1,,2908,SO,C010
200119,007/2020,31/10/2020,71.79,LH022134_Swainson Road,MX0034BC1,,3400,MX,C010
200119,007/2020,31/10/2020,7035.74,LH022136_Welbeck Avenue,SO0326BA1,,2908,SO,C010
200119,007/2020,31/10/2020,124.73,LH022146_Lillie Road,MX0412BA1,,3740,MX,C010
200119,007/2020,31/10/2020,23.93,LH022147_Lillie Road,MX0412BA1,,3740,MX,C010
200119,007/2020,31/10/2020,93.90,LH022150_Avonmore Road,LH0837BA1,,F001,LH,C010
200111,007/2020,31/10/2020,229.86,LH022151_Cowley Road,MX0034BB1,,3401,MX,C010
200119,007/2020,31/10/2020,23.93,LH022153_Ruislip Road East,SO0342BA1,,3008,SO,C010
200119,007/2020,31/10/2020,162.29,LH022158_Colonnade Gardens,MX0076BA1,,U00024,SO,C010
200119,007/2020,31/10/2020,18.78,LH022162_Swainson Road,MX0034BA1,,10802,SO,C010
200119,007/2020,31/10/2020,56.34,LH022191_Sterne Street,SO0131BA1,,1389,SO,C010
200119,007/2020,31/10/2020,24.71,LH022195_Sterne Street,SO0131BA1,,1389,SO,C010
200119,007/2020,31/10/2020,121.91,LH022217_Townmead Road,MX0032BB1,,3104,MX,C010
200119,007/2020,31/10/2020,98.40,LH022248_Cowley Road,MX0034BB1,,3401,MX,C010
200119,007/2020,31/10/2020,160.80,LH022263_Cowley Road,MX0034BB1,,3401,MX,C010
200119,007/2020,31/10/2020,128.90,LH022267_St Stephens Avenu,SO0871BA1,,TS12,SO,C010
200119,007/2020,31/10/2020,174.42,LH022315_Ruislip Road East,SO0042BA1,,1000081,SO,C010
200119,007/2020,31/10/2020,207.63,LH022319_Ruislip Road East,SO0342BA1,,3008,SO,C010
200119,007/2020,31/10/2020,89.25,LH022323_Fulham Road,SO0328BA1,,2910,SO,C010
200106,007/2020,31/10/2020,123.18,LH022328_Shepherds Bush Ro,SO0336BA1,,2974,SO,C010
200106,007/2020,31/10/2020,149.53,LH022329_Swainson Road,MX0034BC1,,3400,MX,C010
200119,007/2020,31/10/2020,530.41,LH022330_Swainson Road,MX0034BC1,,3400,MX,C010
200119,007/2020,31/10/2020,37.56,LH022334_Frithville Garden,SO0878BA1,,7114,SO,C010
200119,007/2020,31/10/2020,36.10,LH022344_Savera Close,SO0335BA1,,2973,SO,C010
200106,007/2020,31/10/2020,147.28,LH022345_Savera Close,SO0335BA1,,2973,SO,C010
200119,007/2020,31/10/2020,12.01,LH022349_Alderwick Drive,MX0010BB1,,1000121,MX,C010
200119,007/2020,31/10/2020,48.28,LH022353_Townmead Road,MX0032BB1,,3104,MX,C010
200119,007/2020,31/10/2020,38.76,LH022354_Lakeside Road,LH0843BA1,,F011,LH,C010
200106,007/2020,31/10/2020,378.01,LH022356_Swainson Road,MX0034BC1,,3400,MX,C010
